69.8925 	WARNING 	Movie2 stim could not be imported and won't be available
90.1844 	DATA 	Mouse: Left button down, pos=(310,165)
90.2945 	DATA 	Mouse: Left button up, pos=(310,165)
90.7443 	DATA 	Keypress: 5
90.7710 	Level Condition: 0 	25
138.3609 	DATA 	Keypress: 5
138.3963 	Level Condition: 0 	25
138.4049 	Level image=bottled_water.jpg 	25
140.3833 	Level injecting via pump at address 0 	25
148.4006 	Level Condition: 0 	25
148.4065 	Level image=bottled_water.jpg 	25
150.3803 	Level injecting via pump at address 0 	25
152.3927 	DATA 	Keypress: q
158.3824 	DATA 	Keypress: q
