21.1927 	WARNING 	Movie2 stim could not be imported and won't be available
42.6457 	DATA 	Keypress: 5
42.6762 	Level Condition: 2 	25
44.6626 	Level injecting via pump at address 1 	25
52.6804 	Level Condition: 1 	25
54.6597 	Level injecting via pump at address 1 	25
62.6833 	Level Condition: 2 	25
64.6597 	Level injecting via pump at address 1 	25
72.6835 	Level Condition: 0 	25
74.6597 	Level injecting via pump at address 0 	25
82.6868 	Level Condition: 2 	25
84.6597 	Level injecting via pump at address 1 	25
92.6862 	Level Condition: 2 	25
94.6597 	Level injecting via pump at address 1 	25
96.6736 	DATA 	Mouse: Left button down, pos=(63,17)
96.7171 	DATA 	Mouse: Left button up, pos=(63,17)
100.6795 	DATA 	Keypress: q
