610.0958 	DATA 	Keypress: 5
610.1278 	Level Condition: 2 	25
610.1325 	Level image=tampico.jpg 	25
620.1289 	Level Condition: 0 	25
620.1357 	Level image=bottled_water.jpg 	25
630.1283 	Level Condition: 0 	25
630.1339 	Level image=bottled_water.jpg 	25
640.1317 	Level Condition: 3 	25
640.1355 	Level image=tampico.jpg 	25
650.1355 	Level Condition: 3 	25
650.1388 	Level image=tampico.jpg 	25
660.1339 	Level Condition: 2 	25
660.1374 	Level image=tampico.jpg 	25
670.1363 	Level Condition: 3 	25
670.1401 	Level image=tampico.jpg 	25
680.1359 	Level Condition: 2 	25
680.1395 	Level image=tampico.jpg 	25
690.1365 	Level Condition: 3 	25
690.1401 	Level image=tampico.jpg 	25
700.1452 	Level Condition: 1 	25
700.1520 	Level image=bottled_water.jpg 	25
710.1396 	Level Condition: 0 	25
710.1455 	Level image=bottled_water.jpg 	25
720.1250 	Level Condition: 0 	25
720.1307 	Level image=bottled_water.jpg 	25
730.1276 	Level Condition: 2 	25
730.1314 	Level image=tampico.jpg 	25
740.1245 	Level Condition: 2 	25
740.1276 	Level image=tampico.jpg 	25
750.1262 	Level Condition: 2 	25
750.1289 	Level image=tampico.jpg 	25
760.1387 	Level Condition: 0 	25
760.1463 	Level image=bottled_water.jpg 	25
768.1232 	DATA 	Keypress: lcommand
770.1375 	Level Condition: 0 	25
770.1443 	Level image=bottled_water.jpg 	25
774.1181 	DATA 	Keypress: lcommand
780.1425 	Level Condition: 1 	25
780.1491 	Level image=bottled_water.jpg 	25
790.1305 	Level Condition: 2 	25
790.1352 	Level image=tampico.jpg 	25
800.1526 	Level Condition: 0 	25
800.1577 	Level image=bottled_water.jpg 	25
810.1181 	Level Condition: 1 	25
810.1229 	Level image=bottled_water.jpg 	25
820.1175 	Level Condition: 2 	25
820.1205 	Level image=tampico.jpg 	25
830.1176 	Level Condition: 1 	25
830.1226 	Level image=bottled_water.jpg 	25
840.1177 	Level Condition: 0 	25
840.1227 	Level image=bottled_water.jpg 	25
